Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;Total
Total Nacional;;Gasto en I+D interna (miles de euros);17.249.249
Total Nacional;;Gasto en I+D interna (%);100,0
Total Nacional;;Personal en EJC: Total personal;249.647,8
Total Nacional;;Personal en EJC: Mujeres;101.030,8
Total Nacional;;Investigadores en EJC: Total personal;154.146,8
Total Nacional;;Investigadores en EJC: Mujeres;61.274,2
Total Nacional;01 Andalucía;Gasto en I+D interna (miles de euros);1.703.533
Total Nacional;01 Andalucía;Gasto en I+D interna (%);9,9
Total Nacional;01 Andalucía;Personal en EJC: Total personal;27.043,5
Total Nacional;01 Andalucía;Personal en EJC: Mujeres;11.226,2
Total Nacional;01 Andalucía;Investigadores en EJC: Total personal;15.542,7
Total Nacional;01 Andalucía;Investigadores en EJC: Mujeres;6.255,5
Total Nacional;02 Aragón;Gasto en I+D interna (miles de euros);386.705
Total Nacional;02 Aragón;Gasto en I+D interna (%);2,2
Total Nacional;02 Aragón;Personal en EJC: Total personal;6.671,0
Total Nacional;02 Aragón;Personal en EJC: Mujeres;2.601,4
Total Nacional;02 Aragón;Investigadores en EJC: Total personal;4.356,0
Total Nacional;02 Aragón;Investigadores en EJC: Mujeres;1.794,2
Total Nacional;03 Asturias, Principado de;Gasto en I+D interna (miles de euros);204.172
Total Nacional;03 Asturias, Principado de;Gasto en I+D interna (%);1,2
Total Nacional;03 Asturias, Principado de;Personal en EJC: Total personal;3.384,4
Total Nacional;03 Asturias, Principado de;Personal en EJC: Mujeres;1.284,2
Total Nacional;03 Asturias, Principado de;Investigadores en EJC: Total personal;2.391,4
Total Nacional;03 Asturias, Principado de;Investigadores en EJC: Mujeres;907,9
Total Nacional;04 Balears, Illes;Gasto en I+D interna (miles de euros);146.031
Total Nacional;04 Balears, Illes;Gasto en I+D interna (%);0,8
Total Nacional;04 Balears, Illes;Personal en EJC: Total personal;2.996,5
Total Nacional;04 Balears, Illes;Personal en EJC: Mujeres;1.268,2
Total Nacional;04 Balears, Illes;Investigadores en EJC: Total personal;2.244,0
Total Nacional;04 Balears, Illes;Investigadores en EJC: Mujeres;975,0
Total Nacional;05 Canarias;Gasto en I+D interna (miles de euros);238.546
Total Nacional;05 Canarias;Gasto en I+D interna (%);1,4
Total Nacional;05 Canarias;Personal en EJC: Total personal;4.009,3
Total Nacional;05 Canarias;Personal en EJC: Mujeres;1.606,6
Total Nacional;05 Canarias;Investigadores en EJC: Total personal;2.946,5
Total Nacional;05 Canarias;Investigadores en EJC: Mujeres;1.158,2
Total Nacional;06 Cantabria;Gasto en I+D interna (miles de euros);133.156
Total Nacional;06 Cantabria;Gasto en I+D interna (%);0,8
Total Nacional;06 Cantabria;Personal en EJC: Total personal;2.159,3
Total Nacional;06 Cantabria;Personal en EJC: Mujeres;846,5
Total Nacional;06 Cantabria;Investigadores en EJC: Total personal;1.382,1
Total Nacional;06 Cantabria;Investigadores en EJC: Mujeres;528,6
Total Nacional;07 Castilla y León;Gasto en I+D interna (miles de euros);795.797
Total Nacional;07 Castilla y León;Gasto en I+D interna (%);4,6
Total Nacional;07 Castilla y León;Personal en EJC: Total personal;11.120,3
Total Nacional;07 Castilla y León;Personal en EJC: Mujeres;4.609,7
Total Nacional;07 Castilla y León;Investigadores en EJC: Total personal;7.223,4
Total Nacional;07 Castilla y León;Investigadores en EJC: Mujeres;3.030,3
Total Nacional;08 Castilla - La Mancha;Gasto en I+D interna (miles de euros);339.418
Total Nacional;08 Castilla - La Mancha;Gasto en I+D interna (%);2,0
Total Nacional;08 Castilla - La Mancha;Personal en EJC: Total personal;3.860,6
Total Nacional;08 Castilla - La Mancha;Personal en EJC: Mujeres;1.481,9
Total Nacional;08 Castilla - La Mancha;Investigadores en EJC: Total personal;1.975,2
Total Nacional;08 Castilla - La Mancha;Investigadores en EJC: Mujeres;783,3
Total Nacional;09 Cataluña;Gasto en I+D interna (miles de euros);4.078.729
Total Nacional;09 Cataluña;Gasto en I+D interna (%);23,6
Total Nacional;09 Cataluña;Personal en EJC: Total personal;55.885,0
Total Nacional;09 Cataluña;Personal en EJC: Mujeres;23.121,4
Total Nacional;09 Cataluña;Investigadores en EJC: Total personal;31.579,2
Total Nacional;09 Cataluña;Investigadores en EJC: Mujeres;12.189,8
Total Nacional;10 Comunitat Valenciana;Gasto en I+D interna (miles de euros);1.358.519
Total Nacional;10 Comunitat Valenciana;Gasto en I+D interna (%);7,9
Total Nacional;10 Comunitat Valenciana;Personal en EJC: Total personal;22.178,1
Total Nacional;10 Comunitat Valenciana;Personal en EJC: Mujeres;9.117,3
Total Nacional;10 Comunitat Valenciana;Investigadores en EJC: Total personal;13.962,0
Total Nacional;10 Comunitat Valenciana;Investigadores en EJC: Mujeres;5.603,6
Total Nacional;11 Extremadura;Gasto en I+D interna (miles de euros);149.074
Total Nacional;11 Extremadura;Gasto en I+D interna (%);0,9
Total Nacional;11 Extremadura;Personal en EJC: Total personal;2.766,2
Total Nacional;11 Extremadura;Personal en EJC: Mujeres;1.104,8
