Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;Total
Total Nacional;11 Extremadura;Investigadores en EJC: Total personal;1.867,6
Total Nacional;11 Extremadura;Investigadores en EJC: Mujeres;733,0
Total Nacional;12 Galicia;Gasto en I+D interna (miles de euros);697.484
Total Nacional;12 Galicia;Gasto en I+D interna (%);4,0
Total Nacional;12 Galicia;Personal en EJC: Total personal;11.435,0
Total Nacional;12 Galicia;Personal en EJC: Mujeres;4.685,7
Total Nacional;12 Galicia;Investigadores en EJC: Total personal;7.461,9
Total Nacional;12 Galicia;Investigadores en EJC: Mujeres;2.971,9
Total Nacional;13 Madrid, Comunidad de;Gasto en I+D interna (miles de euros);4.536.155
Total Nacional;13 Madrid, Comunidad de;Gasto en I+D interna (%);26,3
Total Nacional;13 Madrid, Comunidad de;Personal en EJC: Total personal;61.120,0
Total Nacional;13 Madrid, Comunidad de;Personal en EJC: Mujeres;24.870,7
Total Nacional;13 Madrid, Comunidad de;Investigadores en EJC: Total personal;38.127,7
Total Nacional;13 Madrid, Comunidad de;Investigadores en EJC: Mujeres;15.553,9
Total Nacional;14 Murcia, Región de;Gasto en I+D interna (miles de euros);351.404
Total Nacional;14 Murcia, Región de;Gasto en I+D interna (%);2,0
Total Nacional;14 Murcia, Región de;Personal en EJC: Total personal;6.787,4
Total Nacional;14 Murcia, Región de;Personal en EJC: Mujeres;2.652,1
Total Nacional;14 Murcia, Región de;Investigadores en EJC: Total personal;4.559,3
Total Nacional;14 Murcia, Región de;Investigadores en EJC: Mujeres;1.766,9
Total Nacional;15 Navarra, Comunidad Foral de;Gasto en I+D interna (miles de euros);389.937
Total Nacional;15 Navarra, Comunidad Foral de;Gasto en I+D interna (%);2,3
Total Nacional;15 Navarra, Comunidad Foral de;Personal en EJC: Total personal;5.300,4
Total Nacional;15 Navarra, Comunidad Foral de;Personal en EJC: Mujeres;2.089,3
Total Nacional;15 Navarra, Comunidad Foral de;Investigadores en EJC: Total personal;3.163,2
Total Nacional;15 Navarra, Comunidad Foral de;Investigadores en EJC: Mujeres;1.297,1
Total Nacional;16 País Vasco;Gasto en I+D interna (miles de euros);1.666.316
Total Nacional;16 País Vasco;Gasto en I+D interna (%);9,7
Total Nacional;16 País Vasco;Personal en EJC: Total personal;21.503,8
Total Nacional;16 País Vasco;Personal en EJC: Mujeres;7.829,0
Total Nacional;16 País Vasco;Investigadores en EJC: Total personal;14.431,1
Total Nacional;16 País Vasco;Investigadores en EJC: Mujeres;5.265,9
Total Nacional;17 Rioja, La;Gasto en I+D interna (miles de euros);65.065
Total Nacional;17 Rioja, La;Gasto en I+D interna (%);0,4
Total Nacional;17 Rioja, La;Personal en EJC: Total personal;1.307,8
Total Nacional;17 Rioja, La;Personal en EJC: Mujeres;579,5
Total Nacional;17 Rioja, La;Investigadores en EJC: Total personal;841,7
Total Nacional;17 Rioja, La;Investigadores en EJC: Mujeres;418,6
Total Nacional;18 Ceuta;Gasto en I+D interna (miles de euros);3.620
Total Nacional;18 Ceuta;Gasto en I+D interna (%);0,0
Total Nacional;18 Ceuta;Personal en EJC: Total personal;54,3
Total Nacional;18 Ceuta;Personal en EJC: Mujeres;23,6
Total Nacional;18 Ceuta;Investigadores en EJC: Total personal;42,9
Total Nacional;18 Ceuta;Investigadores en EJC: Mujeres;16,6
Total Nacional;19 Melilla;Gasto en I+D interna (miles de euros);5.589
Total Nacional;19 Melilla;Gasto en I+D interna (%);0,0
Total Nacional;19 Melilla;Personal en EJC: Total personal;65,0
Total Nacional;19 Melilla;Personal en EJC: Mujeres;32,9
Total Nacional;19 Melilla;Investigadores en EJC: Total personal;48,8
Total Nacional;19 Melilla;Investigadores en EJC: Mujeres;23,9
