Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;Periodo;Total
Total Nacional;Murcia, Región de;Gasto en I+D interna (%);2019;2,1
Total Nacional;Murcia, Región de;Personal en EJC: Total personal;2019;6.319,7
Total Nacional;Murcia, Región de;Personal en EJC: Mujeres;2019;2.499,6
Total Nacional;Murcia, Región de;Investigadores en EJC: Total personal;2019;4.217,5
Total Nacional;Murcia, Región de;Investigadores en EJC: Mujeres;2019;1.647,7
Total Nacional;Navarra, Comunidad Foral de;Gasto en I+D interna (miles de euros);2019;355.779
Total Nacional;Navarra, Comunidad Foral de;Gasto en I+D interna (%);2019;2,3
Total Nacional;Navarra, Comunidad Foral de;Personal en EJC: Total personal;2019;4.981,6
Total Nacional;Navarra, Comunidad Foral de;Personal en EJC: Mujeres;2019;2.017,4
Total Nacional;Navarra, Comunidad Foral de;Investigadores en EJC: Total personal;2019;3.024,3
Total Nacional;Navarra, Comunidad Foral de;Investigadores en EJC: Mujeres;2019;1.250,9
Total Nacional;País Vasco;Gasto en I+D interna (miles de euros);2019;1.474.109
Total Nacional;País Vasco;Gasto en I+D interna (%);2019;9,5
Total Nacional;País Vasco;Personal en EJC: Total personal;2019;19.675,3
Total Nacional;País Vasco;Personal en EJC: Mujeres;2019;7.167,4
Total Nacional;País Vasco;Investigadores en EJC: Total personal;2019;13.309,6
Total Nacional;País Vasco;Investigadores en EJC: Mujeres;2019;4.818,1
Total Nacional;Rioja, La;Gasto en I+D interna (miles de euros);2019;67.745
Total Nacional;Rioja, La;Gasto en I+D interna (%);2019;0,4
Total Nacional;Rioja, La;Personal en EJC: Total personal;2019;1.260,7
Total Nacional;Rioja, La;Personal en EJC: Mujeres;2019;544,9
Total Nacional;Rioja, La;Investigadores en EJC: Total personal;2019;798,2
Total Nacional;Rioja, La;Investigadores en EJC: Mujeres;2019;377,3
Total Nacional;Ceuta;Gasto en I+D interna (miles de euros);2019;..
Total Nacional;Ceuta;Gasto en I+D interna (%);2019;..
Total Nacional;Ceuta;Personal en EJC: Total personal;2019;..
Total Nacional;Ceuta;Personal en EJC: Mujeres;2019;..
Total Nacional;Ceuta;Investigadores en EJC: Total personal;2019;..
Total Nacional;Ceuta;Investigadores en EJC: Mujeres;2019;..
Total Nacional;Melilla;Gasto en I+D interna (miles de euros);2019;..
Total Nacional;Melilla;Gasto en I+D interna (%);2019;..
Total Nacional;Melilla;Personal en EJC: Total personal;2019;..
Total Nacional;Melilla;Personal en EJC: Mujeres;2019;..
Total Nacional;Melilla;Investigadores en EJC: Total personal;2019;..
Total Nacional;Melilla;Investigadores en EJC: Mujeres;2019;..
