Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;Total
Total Nacional;14 Murcia, Región de;Personal en EJC: Mujeres;2.568,3
Total Nacional;14 Murcia, Región de;Investigadores en EJC: Total personal;4.293,4
Total Nacional;14 Murcia, Región de;Investigadores en EJC: Mujeres;1.682,5
Total Nacional;15 Navarra, Comunidad Foral de;Gasto en I+D interna (miles de euros);366.353
Total Nacional;15 Navarra, Comunidad Foral de;Gasto en I+D interna (%);2,3
Total Nacional;15 Navarra, Comunidad Foral de;Personal en EJC: Total personal;4.758,2
Total Nacional;15 Navarra, Comunidad Foral de;Personal en EJC: Mujeres;1.972,4
Total Nacional;15 Navarra, Comunidad Foral de;Investigadores en EJC: Total personal;2.858,2
Total Nacional;15 Navarra, Comunidad Foral de;Investigadores en EJC: Mujeres;1.224,5
Total Nacional;16 País Vasco;Gasto en I+D interna (miles de euros);1.461.517
Total Nacional;16 País Vasco;Gasto en I+D interna (%);9,3
Total Nacional;16 País Vasco;Personal en EJC: Total personal;19.517,0
Total Nacional;16 País Vasco;Personal en EJC: Mujeres;7.094,7
Total Nacional;16 País Vasco;Investigadores en EJC: Total personal;13.627,3
Total Nacional;16 País Vasco;Investigadores en EJC: Mujeres;4.862,4
Total Nacional;17 Rioja, La;Gasto en I+D interna (miles de euros);64.412
Total Nacional;17 Rioja, La;Gasto en I+D interna (%);0,4
Total Nacional;17 Rioja, La;Personal en EJC: Total personal;1.202,9
Total Nacional;17 Rioja, La;Personal en EJC: Mujeres;533,8
Total Nacional;17 Rioja, La;Investigadores en EJC: Total personal;785,7
Total Nacional;17 Rioja, La;Investigadores en EJC: Mujeres;384,7
Total Nacional;18 Ceuta;Gasto en I+D interna (miles de euros);..
Total Nacional;18 Ceuta;Gasto en I+D interna (%);..
Total Nacional;18 Ceuta;Personal en EJC: Total personal;..
Total Nacional;18 Ceuta;Personal en EJC: Mujeres;..
Total Nacional;18 Ceuta;Investigadores en EJC: Total personal;..
Total Nacional;18 Ceuta;Investigadores en EJC: Mujeres;..
Total Nacional;19 Melilla;Gasto en I+D interna (miles de euros);..
Total Nacional;19 Melilla;Gasto en I+D interna (%);..
Total Nacional;19 Melilla;Personal en EJC: Total personal;..
Total Nacional;19 Melilla;Personal en EJC: Mujeres;..
Total Nacional;19 Melilla;Investigadores en EJC: Total personal;..
Total Nacional;19 Melilla;Investigadores en EJC: Mujeres;..
